pc_timestamp_ns,sender_ip,seq,timestamp_ms,acc_x_g,acc_y_g,acc_z_g
1781002792900588255,192.168.1.188,516326,5230951,1.0413,0.0819,-0.1443
1781002792910649074,192.168.1.188,516327,5230961,1.053,0.0195,-0.1209
1781002792922813023,192.168.1.188,516328,5230971,1.1193,-0.0156,-0.0468
1781002792931407045,192.168.1.188,516329,5230981,1.1037,-0.4056,-0.0312
1781002792940764661,192.168.1.188,516330,5230991,0.8463,-0.2067,-0.234
1781002792950589639,192.168.1.188,516331,5231001,0.8112,-0.2535,-0.0156
1781002792960686118,192.168.1.188,516332,5231011,1.0101,0.1716,-0.0897
1781002792970668197,192.168.1.188,516333,5231021,1.2519,0.273,-0.0819
1781002792980595255,192.168.1.188,516334,5231031,1.014,0.0585,-0.1443
1781002792990669684,192.168.1.188,516335,5231041,1.0491,0.0351,-0.078
1781002793000558042,192.168.1.188,516336,5231051,1.0569,0.1911,-0.0663
1781002793010557791,192.168.1.188,516337,5231061,1.1115,0.1833,-0.1053
1781002793021037262,192.168.1.188,516338,5231071,1.0686,0.1482,-0.1131
1781002793030659059,192.168.1.188,516339,5231081,1.0179,0.1677,-0.0975
1781002793045855203,192.168.1.188,516340,5231091,1.0062,0.1443,-0.0897
1781002793050544786,192.168.1.188,516341,5231101,1.0998,0.0702,-0.1053
1781002793064861426,192.168.1.188,516342,5231111,0.9984,0.1287,-0.0897
1781002793070570134,192.168.1.188,516343,5231121,1.0062,0.0936,-0.1092
1781002793080702313,192.168.1.188,516344,5231131,1.3767,-0.039,-0.2262
1781002793090654592,192.168.1.188,516345,5231141,0.5889,-0.0819,-0.2808
1781002793100574871,192.168.1.188,516346,5231151,0.9828,-0.2925,-0.1092
1781002793110541409,192.168.1.188,516347,5231161,1.6614,-0.0585,0.1053
1781002793121376772,192.168.1.188,516348,5231171,1.1193,0.3783,-0.0624
1781002793130628717,192.168.1.188,516349,5231181,0.9906,0.1092,-0.0936
1781002793142432755,192.168.1.188,516350,5231191,0.8463,-0.0195,-0.1014
1781002793150658035,192.168.1.188,516351,5231201,1.014,0.1326,-0.0663
1781002793160606443,192.168.1.188,516352,5231211,1.0959,0.2067,-0.1092
1781002793171542617,192.168.1.188,516353,5231221,1.0413,0.1638,-0.1092
1781002793180643941,192.168.1.188,516354,5231231,1.0062,0.1521,-0.0897
1781002793193426813,192.168.1.188,516355,5231241,1.0842,0.1365,-0.0663
1781002793200543218,192.168.1.188,516356,5231251,0.9477,0.1287,-0.0819
1781002793211217870,192.168.1.188,516357,5231261,0.9906,0.1131,-0.078
1781002793220559476,192.168.1.188,516358,5231271,1.0101,0.2067,-0.0741
1781002793230612695,192.168.1.188,516359,5231281,1.1739,-0.0117,-0.2301
1781002793242849225,192.168.1.188,516360,5231291,0.8697,-0.0624,-0.1404
1781002793250563872,192.168.1.188,516361,5231301,1.0803,-0.507,-0.1092
1781002793260559101,192.168.1.188,516362,5231311,0.4212,0.2613,-0.0819
1781002793275014791,192.168.1.188,516363,5231321,1.3182,0.4719,-0.0858
1781002793282673129,192.168.1.188,516364,5231331,1.209,0.3354,-0.0936
1781002793291472982,192.168.1.188,516365,5231341,0.8775,-0.0312,-0.1326
1781002793300556386,192.168.1.188,516366,5231351,1.0296,0.0351,-0.0546
1781002793311764031,192.168.1.188,516367,5231361,0.9984,0.2028,-0.078
1781002793320594084,192.168.1.188,516368,5231371,1.1037,0.2184,-0.1131
1781002793332356891,192.168.1.188,516369,5231381,1.0179,0.1287,-0.0975
1781002793340960013,192.168.1.188,516370,5231391,1.0686,0.1404,-0.0702
1781002793350690041,192.168.1.188,516371,5231401,1.0569,0.1755,-0.0897
1781002793360607639,192.168.1.188,516372,5231411,1.131,0.0741,-0.0897
1781002793370627708,192.168.1.188,516373,5231421,1.0764,0.1209,-0.0897
1781002793380531496,192.168.1.188,516374,5231431,0.9516,0.0702,-0.1521
1781002793390502355,192.168.1.188,516375,5231441,1.2324,-0.468,-0.3432
1781002793400545004,192.168.1.188,516376,5231451,0.9009,-0.0741,0.0273
1781002793410592153,192.168.1.188,516377,5231461,0.9945,-0.0039,-0.1248
1781002793420566081,192.168.1.188,516378,5231471,1.3845,-0.039,0.0312
1781002793434935922,192.168.1.188,516379,5231481,1.3533,0.2106,-0.117
1781002793447570433,192.168.1.188,516380,5231491,1.0998,0.0975,-0.1404
1781002793450664638,192.168.1.188,516381,5231501,0.9516,-0.0273,-0.0741
1781002793460561276,192.168.1.188,516382,5231511,0.9165,0.195,-0.0546
1781002793471589990,192.168.1.188,516383,5231521,1.0608,0.2067,-0.1092
1781002793481783080,192.168.1.188,516384,5231531,1.0803,0.1521,-0.117
1781002793490545023,192.168.1.188,516385,5231541,0.9594,0.1755,-0.0819
1781002793500498641,192.168.1.188,516386,5231551,1.0257,0.1404,-0.078
1781002793510513770,192.168.1.188,516387,5231561,1.0413,0.0936,-0.1014
1781002793520530729,192.168.1.188,516388,5231571,0.8892,0.1755,-0.078
1781002793533688193,192.168.1.188,516389,5231581,1.053,0.078,-0.117
1781002793540656397,192.168.1.188,516390,5231591,1.3767,0.0117,-0.0624
1781002793553792681,192.168.1.188,516391,5231601,0.5616,-0.1404,-0.1131
1781002793560591864,192.168.1.188,516392,5231611,1.0569,0.2691,-0.0819
1781002793572627943,192.168.1.188,516393,5231621,0.6513,0.2106,0.0351
1781002793580517482,192.168.1.188,516394,5231631,0.897,0.117,-0.1599
1781002793590552441,192.168.1.188,516395,5231641,1.0686,0.1989,-0.0663
1781002793600578270,192.168.1.188,516396,5231651,0.9243,0.0078,-0.117
1781002793610625378,192.168.1.188,516397,5231661,1.053,0.1053,-0.0507
1781002793620612998,192.168.1.188,516398,5231671,1.0569,0.1989,-0.1053
1781002793632983818,192.168.1.188,516399,5231681,1.0491,0.1677,-0.117
1781002793640595985,192.168.1.188,516400,5231691,1.0491,0.1482,-0.0897
1781002793652086821,192.168.1.188,516401,5231701,0.9789,0.1872,-0.0741
1781002793660578462,192.168.1.188,516402,5231711,0.9789,0.1989,-0.0819
1781002793670565831,192.168.1.188,516403,5231721,1.0413,0.0858,-0.117
1781002793684616209,192.168.1.188,516404,5231731,0.9438,0.1716,-0.1092
1781002793690577979,192.168.1.188,516405,5231741,0.9438,0.1716,-0.1092
1781002793704388206,192.168.1.188,516406,5231751,1.0413,-0.0156,-0.0897
1781002793710575816,192.168.1.188,516407,5231761,0.9321,-0.1755,-0.1716
1781002793723049367,192.168.1.188,516408,5231771,0.9867,-0.2106,-0.234
1781002793730633924,192.168.1.188,516409,5231781,0.7293,0.2067,-0.0312
1781002793741880739,192.168.1.188,516410,5231791,1.0257,-0.0858,-0.0468
1781002793750614251,192.168.1.188,516411,5231801,1.2519,0.2379,-0.1326
1781002793760677291,192.168.1.188,516412,5231811,1.1778,0.1209,-0.1326
1781002793770569139,192.168.1.188,516413,5231821,0.9945,-0.0273,-0.0741
1781002793783769883,192.168.1.188,516414,5231831,1.0413,0.1521,-0.0624
1781002793790552446,192.168.1.188,516415,5231841,1.1466,0.195,-0.1053
1781002793800597385,192.168.1.188,516416,5231851,1.0062,0.1677,-0.1131
1781002793810615064,192.168.1.188,516417,5231861,0.9867,0.156,-0.0819
1781002793820739634,192.168.1.188,516418,5231871,1.1154,0.1131,-0.078
1781002793830621522,192.168.1.188,516419,5231881,1.0881,0.1131,-0.0936
1781002793840597880,192.168.1.188,516420,5231891,1.053,0.1755,-0.0858
1781002793853641734,192.168.1.188,516421,5231901,1.0764,0.1287,-0.0858
1781002793860642698,192.168.1.188,516422,5231911,1.2714,-0.2418,-0.195
1781002793870564457,192.168.1.188,516423,5231921,0.9516,-0.3159,-0.1287
